variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
baseline,baseline,random,20260920,131072,131072,1,5,0.043572,131072,NA,NA,NA,24510464,17678624,134,454339457082336225,0,24609958,26940292,21884375,memtable,43572042,43572042,43572042,24609958,5068875,26940292,21884375
candidate,candidate,random,20260920,131072,131072,1,5,0.0510505,131072,NA,NA,NA,27033600,19657600,149,454339457082336225,0,23120917,25404666,24503417,memtable,51050458,51050458,51050458,23120917,4578459,25404666,24503417
candidate,candidate,random,20260920,131072,131072,4,5,0.0319613,131072,NA,NA,NA,28704768,21040128,160,454339457082336225,0,20895833,29485792,22614958,memtable,31961334,31961334,31961334,20895833,6286042,29485792,22614958
baseline,baseline,random,20260920,131072,131072,4,5,0.0289032,131072,NA,NA,NA,26198016,18961760,144,454339457082336225,0,20340625,31092167,24476667,memtable,28903208,28903208,28903208,20340625,6571875,31092167,24476667
skiplist,skiplist,random,20260920,131072,131072,4,5,0.0354953,131072,NA,NA,NA,15220736,8106000,61,454339457082336225,0,11499791,17042625,13683917,memtable,35495292,35495292,35495292,11499791,42,17042625,13683917
nibble,nibble,random,20260920,131072,131072,4,5,0.028148,131072,NA,NA,NA,24576000,17407440,132,454339457082336225,0,24418750,32187416,21460334,memtable,28148000,28148000,28148000,24418750,7509166,32187416,21460334
candidate,candidate,random,20260920,131072,131072,8,1,0.0282338,131072,NA,NA,NA,28868608,21032600,160,454339457082336225,0,24074250,27452875,22235208,memtable,28233833,28233833,28233833,24074250,3666958,27452875,22235208
baseline,baseline,random,20260920,131072,131072,8,1,0.0233278,131072,NA,NA,NA,26296320,19004544,144,454339457082336225,0,18107583,25838042,23479375,memtable,23327750,23327750,23327750,18107583,5714333,25838042,23479375
skiplist,skiplist,random,20260920,131072,131072,8,1,0.0401222,131072,NA,NA,NA,15417344,8131040,62,454339457082336225,0,11197708,11607459,16482750,memtable,40122250,40122250,40122250,11197708,42,11607459,16482750
nibble,nibble,random,20260920,131072,131072,8,1,0.02045,131072,NA,NA,NA,24805376,17465576,133,454339457082336225,0,21841875,30363292,25518958,memtable,20449958,20449958,20449958,21841875,6252667,30363292,25518958
nibble,nibble,random,20260920,131072,131072,8,2,0.0224815,131072,NA,NA,NA,24805376,17462016,133,454339457082336225,0,23002042,29568333,25990208,memtable,22481458,22481458,22481458,23002042,7076250,29568333,25990208
skiplist,skiplist,random,20260920,131072,131072,8,2,0.0308862,131072,NA,NA,NA,15450112,8175456,62,454339457082336225,0,18917709,11894750,15058125,memtable,30886208,30886208,30886208,18917709,41,11894750,15058125
baseline,baseline,random,20260920,131072,131072,8,2,0.0251706,131072,NA,NA,NA,26247168,18974352,144,454339457082336225,0,18707958,24930708,23327167,memtable,25170584,25170584,25170584,18707958,5811708,24930708,23327167
candidate,candidate,random,20260920,131072,131072,8,2,0.0224575,131072,NA,NA,NA,28917760,21071272,160,454339457082336225,0,20687125,23847834,23772791,memtable,22457541,22457541,22457541,20687125,4275000,23847834,23772791
candidate,candidate,random,20260920,131072,131072,8,3,0.0270657,131072,NA,NA,NA,28770304,21034120,160,454339457082336225,0,18906375,26138834,23253083,memtable,27065666,27065666,27065666,18906375,6915208,26138834,23253083
baseline,baseline,random,20260920,131072,131072,8,3,0.0188986,131072,NA,NA,NA,26296320,19017824,145,454339457082336225,0,22070750,27621666,24259542,memtable,18898625,18898625,18898625,22070750,5495083,27621666,24259542
skiplist,skiplist,random,20260920,131072,131072,8,3,0.029473,131072,NA,NA,NA,15384576,8173304,62,454339457082336225,0,14171958,9641834,14559083,memtable,29472958,29472958,29472958,14171958,41,9641834,14559083
nibble,nibble,random,20260920,131072,131072,8,3,0.0300385,131072,NA,NA,NA,24772608,17459856,133,454339457082336225,0,24492083,29438167,21465833,memtable,30038458,30038458,30038458,24492083,6208208,29438167,21465833
nibble,nibble,random,20260920,131072,131072,8,4,0.0270043,131072,NA,NA,NA,24838144,17458648,133,454339457082336225,0,24049375,30835250,22174458,memtable,27004292,27004292,27004292,24049375,6429833,30835250,22174458
skiplist,skiplist,random,20260920,131072,131072,8,4,0.027064,131072,NA,NA,NA,15400960,8173448,62,454339457082336225,0,10414583,14785584,12733375,memtable,27064000,27064000,27064000,10414583,0,14785584,12733375
baseline,baseline,random,20260920,131072,131072,8,4,0.0213923,131072,NA,NA,NA,26214400,19010064,145,454339457082336225,0,19239292,25165542,22747458,memtable,21392250,21392250,21392250,19239292,4025000,25165542,22747458
candidate,candidate,random,20260920,131072,131072,8,4,0.0276188,131072,NA,NA,NA,28803072,21049096,160,454339457082336225,0,19272333,24831750,25258042,memtable,27618833,27618833,27618833,19272333,5128958,24831750,25258042
candidate,candidate,random,20260920,131072,131072,8,5,0.0229732,131072,NA,NA,NA,28835840,21074056,160,454339457082336225,0,17341542,27056416,24347417,memtable,22973167,22973167,22973167,17341542,4301459,27056416,24347417
baseline,baseline,random,20260920,131072,131072,8,5,0.026789,131072,NA,NA,NA,26345472,19029360,145,454339457082336225,0,18915375,31552375,32606292,memtable,26788958,26788958,26788958,18915375,4711708,31552375,32606292
skiplist,skiplist,random,20260920,131072,131072,8,5,0.0287721,131072,NA,NA,NA,15368192,8147360,62,454339457082336225,0,14412167,8648667,9948916,memtable,28772083,28772083,28772083,14412167,41,8648667,9948916
nibble,nibble,random,20260920,131072,131072,8,5,0.0268815,131072,NA,NA,NA,24788992,17457264,133,454339457082336225,0,20396542,35248083,20492917,memtable,26881458,26881458,26881458,20396542,8261417,35248083,20492917
nibble,nibble,random,20260920,131072,131072,8,6,0.0250036,131072,NA,NA,NA,24690688,17458512,133,454339457082336225,0,21922291,32469875,21124084,memtable,25003584,25003584,25003584,21922291,7788042,32469875,21124084
